fullmove_number;turn;san;lan;score;move_count;best_move;best_move_score;best_move_score_diff;best_move_score_diff_category;is_check;is_capture;is_castling;possible_moves_count;is_capture_count;attackers_white;attackers_count_white;threatened_pieces_white;threatened_pieces_count_white;guards_white;guards_count_white;guarded_pieces_white;guarded_pieces_count_white;threatened_guarded_pieces_white;threatened_guarded_pieces_count_white;unopposed_threats_white;unopposed_threats_count_white;attackers_black;attackers_count_black;threatened_pieces_black;threatened_pieces_count_black;guards_black;guards_count_black;guarded_pieces_black;guarded_pieces_count_black;threatened_guarded_pieces_black;threatened_guarded_pieces_count_black;unopposed_threats_black;unopposed_threats_count_black;pawn_ending;rook_ending
1;True;e4;e2-e4;47;20;Nf3;25;22;1;False;False;False;20;0;;0;;0;;0;;0;;0;;0;;0;;0;a8, b8, c8, d8, e8, f8, g8, h8;8;a7, b7, c7, d7, e7, f7, g7, h7, b8, c8, d8, e8, f8, g8;14;;0;;0;False;False
1;False;e5;e7-e5;92;20;e6;42;50;2;False;False;False;29;0;;0;;0;a1, b1, c1, d1, e1, f1, h1;7;b1, c1, d1, e1, f1, g1, a2, b2, c2, d2, f2, g2, h2;13;;0;;0;;0;;0;;0;;0;;0;;0;False;False
2;True;Nf3;Ng1-f3;37;29;Nf3;44;7;0;False;False;False;29;0;;0;;0;;0;;0;;0;;0;f3;1;e5;1;a8, b8, c8, d8, e8, f8, h8;7;a7, b7, c7, d7, f7, g7, h7, b8, c8, d8, e8, f8, g8;13;;0;e5;1;False;False
2;False;Nc6;Nb8-c6;98;29;d6;88;10;1;False;False;False;27;1;;0;;0;a1, b1, c1, d1, e1, f1, h1, g2, f3;9;b1, c1, d1, e1, f1, a2, b2, c2, d2, f2, g2, h2, f3;13;;0;;0;f3;1;e5;1;;0;;0;;0;e5;1;False;False
3;True;Bb5;Bf1-b5;45;27;Bb5;31;14;0;False;False;False;30;0;;0;;0;;0;;0;;0;;0;b5, f3;2;c6, e5;2;c6, b7, d7, a8, c8, d8, e8, f8, h8;9;e5, c6, a7, b7, c7, d7, f7, g7, h7, c8, d8, e8, f8, g8;14;c6, e5;2;;0;False;False
3;False;a6;a7-a6;91;30;Nf6;92;1;1;False;False;False;32;3;a6;1;b5;1;a1, b1, c1, d1, e1, h1, g2, f3;8;b1, c1, d1, e1, a2, b2, c2, d2, f2, h2, f3;11;;0;b5;1;b5, f3;2;a6, c6, e5;3;;0;;0;;0;a6, c6, e5;3;False;False
4;True;Ba4;Bb5-a4;28;32;Bxc6;40;12;1;False;False;False;32;0;;0;;0;;0;;0;;0;;0;a4, f3;2;c6, e5;2;c6, b7, d7, a8, c8, d8, e8, f8, h8;9;e5, a6, c6, b7, c7, d7, f7, g7, h7, c8, d8, e8, f8, g8;14;c6, e5;2;;0;False;False
4;False;Nf6;Ng8-f6;92;32;Be7;75;17;1;False;False;False;27;2;f6;1;e4;1;a1, b1, c1, d1, e1, h1, g2, f3, a4;9;b1, c1, d1, e1, a2, b2, c2, d2, f2, h2, f3;11;;0;e4;1;a4, f3;2;c6, e5;2;;0;;0;;0;c6, e5;2;False;False
5;True;O-O;O-O;4;27;O-O;12;8;0;False;False;True;30;1;f6;1;e4;1;;0;;0;;0;e4;1;a4, f3;2;c6, e5;2;c6, f6, b7, d7, g7, a8, c8, d8, e8, f8, h8;11;e5, a6, c6, f6, b7, c7, d7, f7, g7, h7, c8, d8, e8, f8;14;c6, e5;2;;0;False;False
5;False;Be7;Bf8-e7;89;30;Nxe4;61;28;1;False;False;False;25;2;f6;1;e4;1;a1, b1, c1, d1, f1, g1, g2, f3, a4;9;b1, c1, d1, f1, g1, a2, b2, c2, d2, f2, g2, h2, f3;13;;0;e4;1;a4, f3;2;c6, e5;2;;0;;0;;0;c6, e5;2;False;False
6;True;Re1;Rf1-e1;27;25;Bxc6;42;15;1;False;False;False;30;1;f6;1;e4;1;;0;;0;;0;e4;1;a4, f3;2;c6, e5;2;c6, f6, b7, d7, e7, g7, a8, c8, d8, e8, h8;11;e5, a6, c6, f6, b7, c7, d7, e7, f7, h7, c8, d8, e8;13;c6, e5;2;;0;False;False
6;False;b5;b7-b5;64;30;b5;72;8;0;False;False;False;25;2;b5, f6;2;a4, e4;2;a1, b1, c1, d1, e1, g1, g2, f3, a4;9;b1, c1, d1, e1, g1, a2, b2, c2, d2, f2, g2, h2, f3, e4;14;e4;1;a4;1;a4, f3;2;b5, e5;2;;0;;0;;0;b5, e5;2;False;False
7;True;Bb3;Ba4-b3;39;25;Bb3;20;19;0;False;False;False;30;1;f6;1;e4;1;;0;;0;;0;e4;1;b3, f3;2;e5, f7;2;a6, c6, f6, d7, e7, g7, a8, c8, d8, e8, h8;11;b5, e5, a6, c6, f6, c7, d7, e7, h7, c8, d8, e8;12;e5;1;f7;1;False;False
7;False;d6;d7-d6;62;30;O-O;75;13;1;False;False;False;27;2;f6;1;e4;1;a1, b1, c1, d1, e1, g1, a2, c2, g2, b3, f3;11;b1, c1, d1, e1, g1, a2, b2, c2, d2, f2, g2, h2, b3, f3, e4;15;e4;1;;0;b3, f3;2;e5, f7;2;;0;;0;;0;e5, f7;2;False;False
8;True;c3;c2-c3;50;27;c3;37;13;0;False;False;False;33;1;f6;1;e4;1;;0;;0;;0;e4;1;b3, f3;2;e5, f7;2;a6, c6, d6, f6, c7, e7, g7, a8, c8, d8, e8, h8;12;b5, e5, a6, d6, f6, c7, e7, h7, c8, d8, e8;11;e5;1;f7;1;False;False
8;False;O-O;O-O;59;33;Bb7;53;6;1;False;False;True;27;2;f6;1;e4;1;a1, b1, c1, d1, e1, g1, a2, b2, d2, g2, b3, f3;12;b1, c1, d1, e1, g1, a2, b2, d2, f2, g2, h2, b3, c3, f3, e4;15;e4;1;;0;b3, f3;2;e5, f7;2;;0;;0;;0;e5, f7;2;False;False
9;True;h3;h2-h3;39;27;h3;52;13;0;False;False;False;30;2;c8, f6;2;e4, h3;2;;0;;0;;0;e4, h3;2;b3, f3;2;e5, f7;2;a6, c6, d6, f6, c7, e7, g7, a8, c8, d8, f8, g8;12;b5, e5, a6, d6, f6, c7, e7, f7, g7, h7, c8, d8, f8, g8;14;f7, e5;2;;0;False;False
9;False;Bb7;Bc8-b7;92;30;Na5;73;19;1;False;False;False;28;2;f6;1;e4;1;a1, b1, c1, d1, e1, g1, a2, b2, d2, g2, b3, f3;12;b1, c1, d1, e1, g1, a2, b2, d2, f2, g2, b3, c3, f3, h3, e4;15;e4;1;;0;b3, f3;2;e5, f7;2;;0;;0;;0;e5, f7;2;False;False
10;True;d4;d2-d4;59;28;d3;48;11;1;False;False;False;29;3;c6, e5, f6;3;d4, e4;2;;0;;0;;0;d4, e4;2;b3, d4, f3;3;e5, f7;2;a6, c6, d6, f6, b7, c7, e7, g7, a8, d8, f8, g8;12;b5, e5, a6, c6, d6, f6, c7, e7, f7, g7, h7, a8, d8, f8, g8;15;f7, e5;2;;0;False;False
10;False;Re8;Rf8-e8;112;29;Re8;97;15;0;False;False;False;36;3;c6, e5, f6;3;d4, e4;2;a1, b1, c1, d1, e1, g1, a2, b2, g2, b3, c3, f3;12;b1, c1, d1, e1, g1, a2, b2, f2, g2, b3, c3, f3, h3, d4, e4;15;e4, d4;2;;0;b3, d4, f3;3;e5, f7;2;;0;;0;;0;e5, f7;2;False;False
11;True;Nbd2;Nb1-d2;60;36;Ng5;54;6;1;False;False;False;29;3;c6, e5, f6;3;d4, e4;2;;0;;0;;0;d4, e4;2;b3, d4, f3;3;e5, f7;2;a6, c6, d6, f6, b7, c7, e7, g7, a8, d8, e8, g8;12;b5, e5, a6, c6, d6, f6, c7, e7, g7, h7, a8, d8, e8, g8;14;e5;1;f7;1;False;False
11;False;Bf8;Be7-f8;95;29;exd4;97;2;1;False;False;False;30;3;c6, e5, f6;3;d4, e4;2;a1, c1, d1, e1, g1, a2, b2, d2, g2, b3, c3, f3;12;c1, d1, e1, g1, a2, b2, d2, f2, g2, b3, c3, f3, h3, d4, e4;15;e4, d4;2;;0;b3, d4, f3;3;e5, f7;2;;0;;0;;0;e5, f7;2;False;False
12;True;a4;a2-a4;10;30;Bc2;41;31;1;False;False;False;32;4;b5, c6, e5, f6;4;a4, d4, e4;3;;0;;0;;0;a4, d4, e4;3;a4, b3, d4, f3;4;b5, e5, f7;3;a6, c6, d6, f6, b7, c7, g7, a8, d8, e8, f8, g8;12;b5, e5, a6, c6, d6, f6, c7, g7, h7, a8, d8, e8, f8, g8;14;e5, b5;2;f7;1;False;False
12;False;h6;h7-h6;48;32;h6;38;10;0;False;False;False;32;4;b5, c6, e5, f6;4;a4, d4, e4;3;a1, c1, d1, e1, g1, b2, d2, g2, b3, c3, f3;11;c1, d1, e1, g1, b2, d2, f2, g2, b3, c3, f3, h3, a4, d4, e4;15;e4, d4, a4;3;;0;a4, b3, d4, f3;4;b5, e5, f7;3;;0;;0;;0;b5, e5, f7;3;False;False
13;True;Bc2;Bb3-c2;-11;32;Bc2;-1;10;0;False;False;False;33;4;b5, c6, e5, f6;4;a4, d4, e4;3;;0;;0;;0;a4, d4, e4;3;a4, d4, f3;3;b5, e5;2;a6, c6, d6, f6, b7, c7, g7, a8, d8, e8, f8, g8;12;b5, e5, a6, c6, d6, f6, h6, c7, f7, g7, a8, d8, e8, f8, g8;15;e5, b5;2;;0;False;False
13;False;exd4;e5xd4;57;33;exd4;62;5;0;False;True;False;32;3;b5, d4, e8, f6;4;a4, c3, e4;3;a1, c1, d1, e1, g1, b2, c2, d2, g2, f3;10;c1, d1, e1, g1, b2, c2, d2, f2, g2, c3, f3, h3, a4, e4;14;e4, a4, c3;3;;0;a4, c3, f3;3;b5, d4;2;;0;;0;;0;b5, d4;2;False;False
14;True;cxd4;c3xd4;-2;32;Nxd4;9;11;1;False;True;False;35;4;b5, c6, e8, f6;4;a4, d4, e4;3;;0;;0;;0;a4, d4, e4;3;a4;1;b5;1;a6, c6, f6, b7, c7, g7, a8, d8, e8, f8, g8;11;b5, a6, c6, d6, f6, h6, c7, f7, g7, a8, d8, e8, f8, g8;14;b5;1;;0;False;False
14;False;Nb4;Nc6-b4;24;35;Nb4;4;20;0;False;False;False;29;1;b5, f6, b7, b4, e8;5;a4, c2, e4;3;a1, c1, d1, e1, g1, c2, d2, g2, f3;9;c1, d1, e1, g1, b2, c2, d2, f2, g2, f3, h3, a4, d4, e4;14;e4, a4, c2;3;;0;a4;1;b5;1;;0;;0;;0;b5;1;False;False
15;True;Bb1;Bc2-b1;23;29;Bb1;20;3;0;False;False;False;37;4;b7, e8, f6, b5;4;a4, e4;2;;0;;0;;0;a4, e4;2;a4;1;b5;1;a6, f6, b7, c7, g7, a8, b4, d8, e8, f8, g8;11;b5, a6, d6, f6, h6, c7, f7, g7, a8, d8, e8, f8, g8;13;b5;1;;0;False;False
15;False;c5;c7-c5;80;37;Rc8;26;54;2;False;False;False;30;2;b5, c5, f6, b7, e8;5;a4, d4, e4;3;a1, b1, c1, d1, e1, g1, d2, g2, f3;9;b1, c1, d1, e1, g1, b2, d2, f2, g2, f3, h3, a4, d4, e4;14;e4, d4, a4;3;;0;a4, d4;2;b5, c5;2;;0;;0;;0;b5, c5;2;False;False
16;True;d5;d4-d5;76;30;d5;37;39;0;False;False;False;37;6;b5, f6, b7, b4, e8;5;a4, d5, e4;3;;0;;0;;0;a4, d5, e4;3;a4;1;b5;1;c5, a6, d6, f6, b7, g7, a8, b4, d8, e8, f8, g8;12;b5, c5, a6, d6, f6, h6, f7, g7, a8, b4, d8, e8, f8, g8;14;b5;1;;0;False;False
16;False;Nd7;Nf6-d7;94;37;bxa4;86;8;1;False;False;False;29;1;b4, e8, b5, b7;4;a4, d5, e4;3;a1, b1, c1, d1, e1, g1, d2, g2, f3, e4;10;b1, c1, d5, e1, d1, g1, b2, d2, f2, g2, f3, h3, a4, e4;14;d5, e4, a4;3;;0;a4;1;b5;1;;0;;0;;0;b5;1;False;False
17;True;Ra3;Ra1-a3;-37;29;Nf1;58;95;3;False;False;False;39;4;b4, e8, b5, b7;4;a4, d5, e4;3;;0;;0;;0;a4, d5, e4;3;a4;1;b5;1;c5, a6, d6, b7, d7, g7, a8, b4, d8, e8, f8, g8;12;b5, c5, a6, d6, h6, d7, f7, g7, a8, b4, d8, e8, f8;13;b5;1;;0;False;False
17;False;c4;c5-c4;28;39;c4;36;8;0;False;False;False;33;2;b4, e8, b5, b7;4;a4, d5, e4;3;b1, c1, d1, e1, g1, b2, d2, g2, a3, f3, e4;11;b1, c1, d5, e1, d1, g1, b2, d2, f2, g2, a3, f3, h3, a4, e4;15;d5, e4, a4;3;;0;a4, d2;2;b5, c4;2;;0;;0;;0;b5, c4;2;False;False
18;True;Nd4;Nf3-d4;-37;33;Nd4;-28;9;0;False;False;False;40;4;b4, e8, b5, b7;4;a4, d5, e4;3;;0;;0;;0;a4, d5, e4;3;a4, d2, d4;3;b5, c4;2;b5, a6, b7, d7, g7, a8, b4, d8, e8, f8, g8;11;b5, a6, d6, h6, d7, f7, g7, a8, c4, d8, e8, f8;12;b5, c4;2;;0;False;False
18;False;Qf6;Qd8-f6;41;40;Qb6;3;38;1;False;False;False;44;3;b5, f6, b7, b4, e8;5;d5, f2, a4, d4, e4;5;b1, c1, d1, e1, g1, b2, d2, g2, a3, e4;10;b1, c1, d5, e1, d1, g1, b2, d2, g2, a3, h3, a4, e4;13;d5, e4, a4;3;d4, f2;2;a4, d2, d4;3;b5, c4;2;;0;;0;;0;b5, c4;2;False;False
